Behar et al 2010
Behar et al 2013 Khazar
Yunusbayev et al 2012
Yunusbayev et al 2015
Kovacevic et al 2014
Raghavan et al 2013
Skoglund et al 2014
DiCristofaro et al 2013 Afghan
Rasmussen et al 2010
Cardona 2014
Fedorova and Reidla et al 2013
Metspalu_et_al_2011
Chaubey 2010
Rasmussen 2011
Pierron et al 2014 PNAS
Eichstaedt et al 2014 PLoS ONE
Migliano 2013
