sample ID	pop ID	sampling location
MEL_4	Papua New Guinea	Southern Highlands of Papua New Guinea
MEL_5	Papua New Guinea	Southern Highlands of Papua New Guinea
PAI10	Paiwan, Taiwan aborigines	Kaohsiung county, Taiwan
PAI26	Paiwan, Taiwan aborigines	Kaohsiung county, Taiwan
PH1	Mamanwa (Negrito)	Mindanao, Philippines
PH101e	Manobo	Mindanao, Philippines
PH104e	Manobo	Mindanao, Philippines
PH10b	Mamanwa (Negrito)	Mindanao, Philippines
PH110	Manobo	Mindanao, Philippines
PH117	Manobo	Mindanao, Philippines
PH119	Manobo	Mindanao, Philippines
PH120	Manobo	Mindanao, Philippines
PH121	Manobo	Mindanao, Philippines
PH2	Mamanwa (Negrito)	Mindanao, Philippines
PH36e	Mamanwa (Negrito)	Mindanao, Philippines
PH3b	Mamanwa (Negrito)	Mindanao, Philippines
PH45	Mamanwa (Negrito)	Mindanao, Philippines
PH46	Mamanwa (Negrito)	Mindanao, Philippines
PH48	Mamanwa (Negrito)	Mindanao, Philippines
PH63b	Mamanwa (Negrito)	Mindanao, Philippines
PH64	Mamanwa (Negrito)	Mindanao, Philippines
PH68	Mamanwa (Negrito)	Mindanao, Philippines
PH6b	Mamanwa (Negrito)	Mindanao, Philippines
PH70	Mamanwa (Negrito)	Mindanao, Philippines
PH77	Mamanwa (Negrito)	Mindanao, Philippines
PH81	Mamanwa (Negrito)	Mindanao, Philippines
PH83	Manobo	Mindanao, Philippines
PH84	Manobo	Mindanao, Philippines
PH85	Manobo	Mindanao, Philippines
PH87	Manobo	Mindanao, Philippines
PH90	Manobo	Mindanao, Philippines
PH92	Manobo	Mindanao, Philippines
PH93	Manobo	Mindanao, Philippines
PH96	Manobo	Mindanao, Philippines
PH97	Manobo	Mindanao, Philippines
PIN18	Pingpu, Taiwan aborigines	Pingtung county, Taiwan
PIN25	Pingpu, Taiwan aborigines	Pingtung county, Taiwan
PLY_05	Polynesia	Polynesia
PLY_06	Polynesia	Polynesia
PLY_07	Polynesia	Polynesia
PLY_08	Polynesia	Polynesia
PLY_11	Polynesia	Polynesia
PLY_13	Polynesia	Polynesia
PLY_14	Polynesia	Polynesia
PLY_16	Polynesia	Polynesia
PLY_17	Polynesia	Polynesia
PLY_19	Polynesia	Polynesia
PLY_21	Polynesia	Polynesia
PLY_22	Polynesia	Polynesia
PLY_25	Polynesia	Polynesia
PLY_26	Polynesia	Polynesia
PLY_27	Polynesia	Polynesia
PLY_28	Polynesia	Polynesia
PLY_29	Polynesia	Polynesia
PLY_3	Polynesia	Polynesia
PLY_30	Polynesia	Polynesia
PLY_31	Polynesia	Polynesia
PLY_32	Polynesia	Polynesia
PLY_34	Polynesia	Polynesia
PLY_35	Polynesia	Polynesia
PLY_36	Polynesia	Polynesia
PLY_4	Polynesia	Polynesia
PUY16	Puyuma, Taiwan aborigines	Taitung county, Taiwan
PUY30	Puyuma, Taiwan aborigines	Taitung county, Taiwan
R23	Roti	Roti, Indonesia
R24	Roti	Roti, Indonesia
R25	Roti	Roti, Indonesia
R8	Roti	Roti, Indonesia
RUK23	Rukai, Taiwan aborigines	Kaohsiung county, Taiwan
RUK36	Rukai, Taiwan aborigines	Kaohsiung county, Taiwan
SAI17	Saisiat, Taiwan aborigines	Miaoli county, Taiwan
SAI23	Saisiat, Taiwan aborigines	Miaoli county, Taiwan
Smd28	Semende	Sumatra, Indonesia
Smd29	Semende	Sumatra, Indonesia
Smd3	Semende	Sumatra, Indonesia
Smd30	Semende	Sumatra, Indonesia
Smd31	Semende	Sumatra, Indonesia
Smd32	Semende	Sumatra, Indonesia
Smd34	Semende	Sumatra, Indonesia
Smd35	Semende	Sumatra, Indonesia
Smd36	Semende	Sumatra, Indonesia
Smd4	Semende	Sumatra, Indonesia
Te8	Ternate	Ternate, Indonesia
Te12	Ternate	Ternate, Indonesia
Te6	Ternate	Ternate, Indonesia
Ti15	Timor	Timor, Indonesia
Ti21	Timor	Timor, Indonesia
Ti7	Timor	Timor, Indonesia
TSO40	Tsou, Taiwan aborigines	Taitung county, Taiwan
TSO43	Tsou, Taiwan aborigines	Taitung county, Taiwan
