HGDPIndividualNumber	PopulationCode	PopulationName	SamplingLocation	GeographicRegionOfPopulation	Sex	InHGDP-CEPHpanel[CannEtAl2002]?	AnalyzedInRosenbergEtAl2002?	PopulationLabelBelievedToBeCorrect?	HasNoDuplicatesInPanel?	AnalyzedInRosenbergEtAl2005[datasetH1048]?	HasNoKnown1stDegreeRelativesInPanel?	HasNoKnown1stOr2ndDegreeRelativesInPanel?	HasAParentOrOffspringInPanel?	IncludedInDataset971[No1stDegreeRelatives]?	IncludedInDataset952[No1stOr2ndDegreeRelatives]?	DuplicationConjugate[OnlyDiffersFromSampleNumberIfSampleIsDuplicated]	AlternatePopulationCode[OnlyDiffersFromPrimaryPopulationCodeForBantuSouthAfrica]	AlternatePopulationName[OnlyDiffersFromPrimaryPopulationNameForBantuSouthAfrica]	OrangeQInRosenbergEtAl2002Fig1K=5	BlueQInRosenbergEtAl2002Fig1K=5	PinkQInRosenbergEtAl2002Fig1K=5	GreenQInRosenbergEtAl2002Fig1K=5	PurpleQInRosenbergEtAl2002Fig1K=5
994	430	BantuSouthAfrica	Lesotho	AFRICA	m	1	0	1	1	1	1	1	0	1	1	994	434	Sotho	NA	NA	NA	NA	NA
995	82	Karitiana	Brazil	AMERICA	f	1	1	1	1	1	0	0	0	1	1	995	82	Karitiana	0.001	0.002	0.002	0.002	0.994
996	82	Karitiana	Brazil	AMERICA	f	1	1	1	1	1	0	0	0	0	0	996	82	Karitiana	0	0.001	0.001	0	0.998
997	82	Karitiana	Brazil	AMERICA	m	1	1	1	1	1	0	0	1	0	0	997	82	Karitiana	0	0	0.001	0	0.999
998	82	Karitiana	Brazil	AMERICA	m	1	1	1	1	1	0	0	0	1	1	998	82	Karitiana	0	0.001	0.001	0	0.997
999	82	Karitiana	Brazil	AMERICA	f	1	1	1	1	1	0	0	1	1	1	999	82	Karitiana	0	0	0	0	0.999
1000	82	Karitiana	Brazil	AMERICA	m	1	1	1	1	1	0	0	0	0	0	1000	82	Karitiana	0	0	0	0	0.999
1001	82	Karitiana	Brazil	AMERICA	f	1	1	1	1	1	1	1	0	1	1	1001	82	Karitiana	0.001	0.001	0.002	0.001	0.996
1003	82	Karitiana	Brazil	AMERICA	f	1	1	1	1	1	1	1	0	1	1	1003	82	Karitiana	0.001	0.001	0.001	0.001	0.997
1004	82	Karitiana	Brazil	AMERICA	m	1	1	1	1	1	0	0	1	0	0	1004	82	Karitiana	0	0.001	0.001	0	0.998
1005	82	Karitiana	Brazil	AMERICA	m	1	1	1	1	1	0	0	0	0	0	1005	82	Karitiana	0	0	0.001	0	0.998
1006	82	Karitiana	Brazil	AMERICA	f	1	1	1	1	1	1	0	0	1	1	1006	82	Karitiana	0	0.001	0.001	0.001	0.997
1007	82	Karitiana	Brazil	AMERICA	f	1	1	1	1	1	0	0	1	0	0	1007	82	Karitiana	0	0.001	0.001	0	0.998
1008	82	Karitiana	Brazil	AMERICA	f	1	1	1	1	1	0	0	1	0	0	1008	82	Karitiana	0	0.001	0.001	0.001	0.997
1009	82	Karitiana	Brazil	AMERICA	m	1	1	1	1	1	1	1	0	1	1	1009	82	Karitiana	0.006	0.015	0.18	0.001	0.798
1010	82	Karitiana	Brazil	AMERICA	f	1	1	1	1	1	1	1	0	1	1	1010	82	Karitiana	0.001	0.006	0.003	0.003	0.988
1011	82	Karitiana	Brazil	AMERICA	f	1	1	1	1	1	0	0	1	0	0	1011	82	Karitiana	0	0	0	0	0.998
1012	82	Karitiana	Brazil	AMERICA	m	1	1	1	1	1	0	0	1	1	1	1012	82	Karitiana	0	0	0	0	0.999
1013	82	Karitiana	Brazil	AMERICA	m	1	1	1	1	1	1	1	0	1	1	1013	82	Karitiana	0	0.001	0.002	0.001	0.996
1014	82	Karitiana	Brazil	AMERICA	f	1	1	1	1	1	0	0	1	1	1	1014	82	Karitiana	0.001	0.001	0.003	0.001	0.994
1015	82	Karitiana	Brazil	AMERICA	m	1	1	1	1	1	1	1	0	1	1	1015	82	Karitiana	0.001	0.001	0.002	0.001	0.995
1016	82	Karitiana	Brazil	AMERICA	f	1	1	1	1	1	0	0	1	0	0	1016	82	Karitiana	0	0	0.001	0	0.999
1017	82	Karitiana	Brazil	AMERICA	f	1	1	1	1	1	0	0	1	0	0	1017	82	Karitiana	0.001	0.001	0.001	0.001	0.997
1018	82	Karitiana	Brazil	AMERICA	f	1	1	1	1	1	0	0	1	1	1	1018	82	Karitiana	0	0	0.001	0	0.998
1019	82	Karitiana	Brazil	AMERICA	m	1	1	1	1	1	1	1	0	1	1	1019	82	Karitiana	0	0	0.001	0	0.998
1021	601	Han	China	EAST_ASIA	f	1	1	1	1	1	1	1	0	1	1	1021	601	Han	0.022	0.016	0.949	0.009	0.004
1022	601	Han	China	EAST_ASIA	f	1	1	1	0	0	NA	NA	NA	0	0	813	601	Han	0.001	0.001	0.99	0.002	0.006
1023	601	Han	China	EAST_ASIA	f	1	1	1	1	1	1	1	0	1	1	1023	601	Han	0.001	0.004	0.954	0.003	0.037
1024	601	Han	China	EAST_ASIA	f	1	1	1	1	1	1	1	0	1	1	1024	601	Han	0.007	0.018	0.965	0.008	0.001
1025	684	Japanese	Japan	EAST_ASIA	m	1	1	1	0	0	NA	NA	NA	0	0	762	684	Japanese	0.001	0.001	0.993	0.003	0.002
1026	684	Japanese	Japan	EAST_ASIA	m	0	1	1	1	0	NA	NA	NA	0	0	1026	684	Japanese	0.004	0.001	0.983	0.011	0.001
1027	71	Melanesian	Bougainville	OCEANIA	f	1	1	1	1	1	1	1	0	1	1	1027	71	Melanesian	0.001	0.002	0.125	0.871	0.001
1028	430	BantuSouthAfrica	BotswanaOrNamibia	AFRICA	m	1	0	1	1	1	1	1	0	1	1	1028	431	Herero	NA	NA	NA	NA	NA
