SID,PID,Source,Permission
ItalyAbruzzo17,61,Estonians,Public
ItalyAbruzzo20,61,Estonians,Public
ItalyAbruzzo13,61,Estonians,Public
ItalyAbruzzo15,61,Estonians,Public
ItalyAbruzzo19,61,Estonians,Public
Cyprus1,62,Estonians,Public
Cyprus10,62,Estonians,Public
Cyprus11,62,Estonians,Public
Cyprus12,62,Estonians,Public
Cyprus2,62,Estonians,Public
Cyprus3,62,Estonians,Public
Cyprus4,62,Estonians,Public
Cyprus5,62,Estonians,Public
Cyprus6,62,Estonians,Public
Cyprus7,62,Estonians,Public
Cyprus8,62,Estonians,Public
Cyprus9,62,Estonians,Public
GreeceThessaly1,64,Estonians,Public
GreeceThessaly10,64,Estonians,Public
GreeceThessaly2,64,Estonians,Public
GreeceThessaly3,64,Estonians,Public
GreeceThessaly4,64,Estonians,Public
GreeceThessaly5,64,Estonians,Public
GreeceThessaly6,64,Estonians,Public
GreeceThessaly7,64,Estonians,Public
GreeceThessaly8,64,Estonians,Public
GreeceThessaly9,64,Estonians,Public
Macedonian10,65,Estonians,Public
Macedonian12,65,Estonians,Public
Macedonian14,65,Estonians,Public
Macedonian17b-d,65,Estonians,Public
Macedonian19,65,Estonians,Public
Macedonian2,65,Estonians,Public
Macedonian20,65,Estonians,Public
Macedonian21,65,Estonians,Public
Macedonian22,65,Estonians,Public
Macedonian3,65,Estonians,Public
Macedonian6,65,Estonians,Public
Macedonian7,65,Estonians,Public
Macedonian8,65,Estonians,Public
Macedonian9,65,Estonians,Public
Kosovo1,66,Estonians,Public
Kosovo7,66,Estonians,Public
Kosovo8,66,Estonians,Public
Kosovo11,66,Estonians,Public
Kosovo12,66,Estonians,Public
Kosovo14,66,Estonians,Public
Kosovo15,66,Estonians,Public
Kosovo16,66,Estonians,Public
Kosovo18,66,Estonians,Public
Montenegro1,67,Estonians,Public
Montenegro4,67,Estonians,Public
Montenegro5,67,Estonians,Public
Montenegro6,67,Estonians,Public
Montenegro7,67,Estonians,Public
Montenegro9,67,Estonians,Public
Montenegro10,67,Estonians,Public
Montenegro11,67,Estonians,Public
Montenegro14,67,Estonians,Public
Montenegro15,67,Estonians,Public
Montenegro17,67,Estonians,Public
Montenegro19,67,Estonians,Public
Montenegro20,67,Estonians,Public
Montenegro21,67,Estonians,Public
Bosnian_1,68,Estonians,Public
Bosnian_10,68,Estonians,Public
Bosnian_11,68,Estonians,Public
Bosnian_12,68,Estonians,Public
Bosnian_13,68,Estonians,Public
Bosnian_14,68,Estonians,Public
Bosnian_15,68,Estonians,Public
Bosnian_16,68,Estonians,Public
Bosnian_2,68,Estonians,Public
Bosnian_3,68,Estonians,Public
Bosnian_4,68,Estonians,Public
Bosnian_5,68,Estonians,Public
