SID,PID,Source,Permission
PI-UN-000032-1-01,676,HUGO,Private
PI-UN-000034-1-01,676,HUGO,Private
PI-UN-000035-1-01,676,HUGO,Private
PI-UN-000047-1-01,676,HUGO,Private
PI-UN-000050-1-01,676,HUGO,Private
PI-UN-000051-1-01,676,HUGO,Private
AX-ME-010539-1-01,753,HUGO,Private
AX-ME-010540-1-01,753,HUGO,Private
AX-ME-010541-1-01,753,HUGO,Private
AX-ME-010542-1-01,753,HUGO,Private
AX-ME-010543-1-01,753,HUGO,Private
AX-AM-013607-1-01,751,HUGO,Private
AX-AM-013608-1-01,751,HUGO,Private
AX-AM-013609-1-01,751,HUGO,Private
AX-AM-013610-1-01,751,HUGO,Private
AX-AM-013611-1-01,751,HUGO,Private
AX-AM-013612-1-01,751,HUGO,Private
AX-AM-013613-1-01,751,HUGO,Private
AX-AM-013614-1-01,751,HUGO,Private
AX-AM-013615-1-01,751,HUGO,Private
AX-AM-013616-1-01,751,HUGO,Private
AX-AT-013597-1-01,752,HUGO,Private
AX-AT-013598-1-01,752,HUGO,Private
AX-AT-013599-1-01,752,HUGO,Private
AX-AT-013600-1-01,752,HUGO,Private
AX-AT-013601-1-01,752,HUGO,Private
AX-AT-013602-1-01,752,HUGO,Private
AX-AT-013603-1-01,752,HUGO,Private
AX-AT-013604-1-01,752,HUGO,Private
AX-AT-013605-1-01,752,HUGO,Private
AX-AT-013606-1-01,752,HUGO,Private
CN-CC-000001-1-01,711,HUGO,Private
CN-CC-000002-1-01,711,HUGO,Private
CN-CC-000004-1-01,711,HUGO,Private
CN-CC-000007-1-01,711,HUGO,Private
CN-CC-000011-1-01,711,HUGO,Private
CN-CC-000014-1-01,711,HUGO,Private
CN-CC-000016-1-01,711,HUGO,Private
CN-CC-000024-1-01,711,HUGO,Private
CN-CC-000029-1-01,711,HUGO,Private
CN-CC-000038-1-01,711,HUGO,Private
CN-CC-000039-1-01,711,HUGO,Private
CN-CC-000040-1-01,711,HUGO,Private
CN-CC-000041-1-01,711,HUGO,Private
CN-CC-000043-1-01,711,HUGO,Private
CN-CC-100002-1-01,711,HUGO,Private
CN-CC-100004-1-01,711,HUGO,Private
CN-CC-100006-1-01,711,HUGO,Private
CN-CC-100007-1-01,711,HUGO,Private
CN-CC-100008-1-01,711,HUGO,Private
CN-CC-100011-1-01,711,HUGO,Private
CN-CC-100014-1-01,711,HUGO,Private
CN-CC-100021-1-01,711,HUGO,Private
CN-CC-100023-1-01,711,HUGO,Private
CN-CC-100024-1-01,711,HUGO,Private
CN-CC-100025-1-01,711,HUGO,Private
CN-CC-100027-1-01,711,HUGO,Private
CN-HM-000003-1-01,714,HUGO,Private
CN-HM-000004-1-01,714,HUGO,Private
CN-HM-000005-1-01,714,HUGO,Private
CN-HM-000007-1-01,714,HUGO,Private
CN-HM-000008-1-01,714,HUGO,Private
CN-HM-000010-1-01,714,HUGO,Private
CN-HM-000017-1-01,714,HUGO,Private
CN-HM-000019-1-01,714,HUGO,Private
CN-HM-000027-1-01,714,HUGO,Private
CN-HM-000028-1-01,714,HUGO,Private
CN-HM-000035-1-01,714,HUGO,Private
CN-HM-000040-1-01,714,HUGO,Private
CN-HM-000041-1-01,714,HUGO,Private
CN-HM-000042-1-01,714,HUGO,Private
CN-HM-000044-1-01,714,HUGO,Private
CN-HM-000047-1-01,714,HUGO,Private
CN-HM-000049-1-01,714,HUGO,Private
CN-HM-000055-1-01,714,HUGO,Private
CN-HM-000068-1-01,714,HUGO,Private
CN-HM-000078-1-01,714,HUGO,Private
CN-HM-000096-1-01,714,HUGO,Private
CN-HM-000098-1-01,714,HUGO,Private
CN-HM-000099-1-01,714,HUGO,Private
CN-HM-000106-1-01,714,HUGO,Private
CN-HM-000107-1-01,714,HUGO,Private
CN-HM-000126-1-01,714,HUGO,Private
CN-UG-000012-1-01,718,HUGO,Private
CN-UG-000013-1-01,718,HUGO,Private
CN-UG-000014-1-01,718,HUGO,Private
CN-UG-000015-1-01,718,HUGO,Private
CN-UG-000016-1-01,718,HUGO,Private
CN-UG-000019-1-01,718,HUGO,Private
CN-UG-000020-1-01,718,HUGO,Private
CN-UG-000021-1-01,718,HUGO,Private
CN-UG-000023-1-01,718,HUGO,Private
CN-UG-000024-1-01,718,HUGO,Private
CN-UG-000026-1-01,718,HUGO,Private
CN-UG-000027-1-01,718,HUGO,Private
CN-UG-000028-1-01,718,HUGO,Private
CN-UG-000029-1-01,718,HUGO,Private
CN-UG-000030-1-01,718,HUGO,Private
CN-UG-000036-1-01,718,HUGO,Private
CN-UG-000037-1-01,718,HUGO,Private
CN-UG-000038-1-01,718,HUGO,Private
CN-UG-000045-1-01,718,HUGO,Private
